trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.5, 'e': 0.9508170173404256}",20,14,-31.91265995451963,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.9503543960776683}",20,11,-35.47212333139052,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.9498885304002435}",25,13,-39.74204193043729,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.9494194011229296}",25,0,-92.8576067854232,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9489469890010952}",25,0,-114.04557015712531,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.948471274731402}",20,0,-46.34716958317981,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9479922389525234}",20,0,-107.39903763310929,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9475098622458833}",25,6,-32.283056891956576,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.9470241251364111}",25,3,-58.82234976829688,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.9465350080933156}",20,0,-25.423427838474193,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9460424915308765}",20,0,-0.4779029581013763,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.9455465558092561}",20,0,-85.41731159945807,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9450471812353266}",25,0,-204.79392684986072,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
175,False,"{'a': 0.5, 'e': 0.9445443480635202}",25,0,-85.68749272965978,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.9440380364966957}",20,0,-103.51128475223419,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.9435282266870252}",20,0,-38.61876526089761,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.9430148987368999}",25,0,-46.36852501214279,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9424980326998568}",20,0,-59.643090974565865,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.9419776085815236}",20,0,-103.80311768110455,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.9414536063405857}",20,0,-63.835199828436984,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
